n_processos,array_size,custom,iteration,time
8,2048,true,20,0.000108
8,2048,true,21,0.000104
8,2048,true,22,0.000097
8,2048,true,23,0.000106
8,2048,true,24,0.000101
8,2048,true,25,0.000104
8,2048,true,26,0.000103
8,2048,true,27,0.000101
8,2048,true,28,0.000108
8,2048,true,29,0.000113
8,2048,true,30,0.000105
16,2048,true,1,0.000268
16,2048,true,2,0.000304
16,2048,true,3,0.000282
16,2048,true,4,0.000310
16,2048,true,5,0.000288
16,2048,true,6,0.000258
16,2048,true,7,0.000288
16,2048,true,8,0.000263
16,2048,true,9,0.000272
16,2048,true,10,0.000401
16,2048,true,11,0.000289
16,2048,true,12,0.000284
16,2048,true,13,0.000315
16,2048,true,14,0.000340
16,2048,true,15,0.000292
16,2048,true,16,0.000304
16,2048,true,17,0.000320
16,2048,true,18,0.000248
16,2048,true,19,0.000256
16,2048,true,20,0.000267
16,2048,true,21,0.000271
16,2048,true,22,0.000282
16,2048,true,23,0.000263
16,2048,true,24,0.000253
16,2048,true,25,0.000310
16,2048,true,26,0.000267
16,2048,true,27,0.000269
16,2048,true,28,0.000283
16,2048,true,29,0.000259
16,2048,true,30,0.000299
32,2048,true,1,0.000804
32,2048,true,2,0.000695
32,2048,true,3,0.000858
32,2048,true,4,0.001080
32,2048,true,5,0.001536
32,2048,true,6,0.000942
32,2048,true,7,0.000866
32,2048,true,8,0.000683
32,2048,true,9,0.000934
32,2048,true,10,0.001484
32,2048,true,11,0.001294
32,2048,true,12,0.001196
32,2048,true,13,0.000826
32,2048,true,14,0.000802
32,2048,true,15,0.001529
32,2048,true,16,0.002002
32,2048,true,17,0.000901
32,2048,true,18,0.000889
32,2048,true,19,0.000874
32,2048,true,20,0.002063
32,2048,true,21,0.001099
32,2048,true,22,0.001331
32,2048,true,23,0.001143
32,2048,true,24,0.005972
32,2048,true,25,0.000821
32,2048,true,26,0.000953
32,2048,true,27,0.000804
32,2048,true,28,0.001910
32,2048,true,29,0.000919
32,2048,true,30,0.000806
1,4096,true,1,0.000003
1,4096,true,2,0.000000
1,4096,true,3,0.000003
1,4096,true,4,0.000000
1,4096,true,5,0.000000
1,4096,true,6,0.000000
1,4096,true,7,0.000003
1,4096,true,8,0.000000
1,4096,true,9,0.000000
1,4096,true,10,0.000000
1,4096,true,11,0.000000
1,4096,true,12,0.000000
1,4096,true,13,0.000001
1,4096,true,14,0.000000
1,4096,true,15,0.000000
1,4096,true,16,0.000000
1,4096,true,17,0.000003
1,4096,true,18,0.000000
1,4096,true,19,0.000000
1,4096,true,20,0.000000
1,4096,true,21,0.000000
1,4096,true,22,0.000000
1,4096,true,23,0.000003
1,4096,true,24,0.000000
1,4096,true,25,0.000000
1,4096,true,26,0.000000
1,4096,true,27,0.000000
1,4096,true,28,0.000000
1,4096,true,29,0.000000
1,4096,true,30,0.000000
2,4096,true,1,0.000025
2,4096,true,2,0.000028
2,4096,true,3,0.000025
2,4096,true,4,0.000029
2,4096,true,5,0.000025
2,4096,true,6,0.000029
2,4096,true,7,0.000028
2,4096,true,8,0.000027
2,4096,true,9,0.000029
2,4096,true,10,0.000028
2,4096,true,11,0.000025
2,4096,true,12,0.000029
2,4096,true,13,0.000029
2,4096,true,14,0.000025
2,4096,true,15,0.000023
2,4096,true,16,0.000025
2,4096,true,17,0.000029
2,4096,true,18,0.000026
2,4096,true,19,0.000026
2,4096,true,20,0.000023
2,4096,true,21,0.000029
2,4096,true,22,0.000024
2,4096,true,23,0.000028
2,4096,true,24,0.000028
2,4096,true,25,0.000026
2,4096,true,26,0.000027
2,4096,true,27,0.000026
2,4096,true,28,0.000029
2,4096,true,29,0.000022
2,4096,true,30,0.000028
4,4096,true,1,0.000043
4,4096,true,2,0.000050
4,4096,true,3,0.000051
4,4096,true,4,0.000046
4,4096,true,5,0.000051
4,4096,true,6,0.000049
4,4096,true,7,0.000050
4,4096,true,8,0.000051
4,4096,true,9,0.000051
4,4096,true,10,0.000044
4,4096,true,11,0.000051
4,4096,true,12,0.000043
4,4096,true,13,0.000050
4,4096,true,14,0.000048
4,4096,true,15,0.000050
4,4096,true,16,0.000055
4,4096,true,17,0.000048
4,4096,true,18,0.000062
4,4096,true,19,0.000045
4,4096,true,20,0.000051
4,4096,true,21,0.000052
4,4096,true,22,0.000052
4,4096,true,23,0.000049
4,4096,true,24,0.000053
4,4096,true,25,0.000047
4,4096,true,26,0.000051
4,4096,true,27,0.000052
4,4096,true,28,0.000052
4,4096,true,29,0.000049
4,4096,true,30,0.000054
8,4096,true,1,0.000122
8,4096,true,2,0.000124
8,4096,true,3,0.000126
8,4096,true,4,0.000134
8,4096,true,5,0.000119
8,4096,true,6,0.000124
8,4096,true,7,0.000118
8,4096,true,8,0.000123
8,4096,true,9,0.000129
8,4096,true,10,0.000126
8,4096,true,11,0.000128
8,4096,true,12,0.000123
8,4096,true,13,0.000118
8,4096,true,14,0.000123
8,4096,true,15,0.000125
8,4096,true,16,0.000117
8,4096,true,17,0.000127
8,4096,true,18,0.000129
8,4096,true,19,0.000127
8,4096,true,20,0.000121
8,4096,true,21,0.000133
8,4096,true,22,0.000131
8,4096,true,23,0.000123
8,4096,true,24,0.000135
8,4096,true,25,0.000131
8,4096,true,26,0.000126
8,4096,true,27,0.000126
