impl,num_threads,i,grid_size,time
omp,2,3,1024,0.501349
omp,2,3,128,0.007879
omp,2,3,2048,2.011300
omp,2,3,256,0.031579
omp,2,3,32,0.000621
omp,2,3,4096,8.021783
omp,2,3,512,0.125804
omp,2,3,64,0.002008
omp,2,3,8,0.000107
omp,2,4,1024,0.501136
omp,2,4,128,0.007891
omp,2,4,2048,2.008539
omp,2,4,256,0.031455
omp,2,4,32,0.000541
omp,2,4,4096,8.043039
omp,2,4,512,0.125879
omp,2,4,64,0.002019
omp,2,4,8,0.000106
omp,2,5,1024,0.502267
omp,2,5,128,0.007858
omp,2,5,2048,2.010139
omp,2,5,256,0.031665
omp,2,5,32,0.000542
omp,2,5,4096,8.026703
omp,2,5,512,0.126604
omp,2,5,64,0.001968
omp,2,5,8,0.000103
omp,2,6,1024,0.501606
omp,2,6,128,0.007878
omp,2,6,2048,2.006096
omp,2,6,256,0.031525
omp,2,6,32,0.000550
omp,2,6,4096,8.024343
omp,2,6,512,0.127342
omp,2,6,64,0.001994
omp,2,6,8,0.000110
omp,2,7,1024,0.501380
omp,2,7,128,0.007870
omp,2,7,2048,2.009004
omp,2,7,256,0.031743
omp,2,7,32,0.000540
omp,2,7,4096,8.022539
omp,2,7,512,0.125509
omp,2,7,64,0.002026
omp,2,7,8,0.000107
omp,2,8,1024,0.508449
omp,2,8,128,0.007849
omp,2,8,2048,2.011339
omp,2,8,256,0.031870
omp,2,8,32,0.000543
omp,2,8,4096,8.019960
omp,2,8,512,0.127210
omp,2,8,64,0.002021
omp,2,8,8,0.000104
omp,2,9,1024,0.501706
omp,2,9,128,0.007902
omp,2,9,2048,2.013912
omp,2,9,256,0.031970
omp,2,9,32,0.000556
omp,2,9,4096,8.019807
omp,2,9,512,0.125383
omp,2,9,64,0.001975
omp,2,9,8,0.000104
omp,2,10,1024,0.501278
omp,2,10,128,0.007894
omp,2,10,2048,2.004416
omp,2,10,256,0.032763
omp,2,10,32,0.000631
omp,2,10,4096,8.017396
omp,2,10,512,0.125794
omp,2,10,64,0.002028
omp,2,10,8,0.000104
omp,2,11,1024,0.503745
omp,2,11,128,0.007900
omp,2,11,2048,1.995995
omp,2,11,256,0.031962
omp,2,11,32,0.000573
omp,2,11,4096,8.017577
omp,2,11,512,0.125928
omp,2,11,64,0.002035
omp,2,11,8,0.000100
omp,2,12,1024,0.501989
omp,2,12,128,0.007791
omp,2,12,2048,1.997812
omp,2,12,256,0.032654
omp,2,12,32,0.000539
omp,2,12,4096,8.018920
omp,2,12,512,0.126323
omp,2,12,64,0.002032
omp,2,12,8,0.000104
omp,2,13,1024,0.502014
omp,2,13,128,0.007783
omp,2,13,2048,2.009564
omp,2,13,256,0.031542
omp,2,13,32,0.000612
omp,2,13,4096,8.024261
omp,2,13,512,0.126507
omp,2,13,64,0.001970
omp,2,13,8,0.000102
omp,2,14,1024,0.504733
omp,2,14,128,0.007888
omp,2,14,2048,2.011196
omp,2,14,256,0.031782
omp,2,14,32,0.000557
omp,2,14,4096,8.021884
omp,2,14,512,0.126067
omp,2,14,64,0.001976
omp,2,14,8,0.000102
omp,2,15,1024,0.501341
omp,2,15,128,0.007888
omp,2,15,2048,2.008937
omp,2,15,256,0.031756
omp,2,15,32,0.000546
omp,2,15,4096,8.019057
omp,2,15,512,0.125396
omp,2,15,64,0.001989
omp,2,15,8,0.000071
omp,2,16,1024,0.501974
omp,2,16,128,0.007818
omp,2,16,2048,2.009936
omp,2,16,256,0.031751
omp,2,16,32,0.000586
omp,2,16,4096,8.032752
omp,2,16,512,0.127186
omp,2,16,64,0.001969
omp,2,16,8,0.000147
omp,2,17,1024,0.501927
omp,2,17,128,0.007885
omp,2,17,2048,2.010466
omp,2,17,256,0.031679
omp,2,17,32,0.000534
omp,2,17,4096,8.032795
omp,2,17,512,0.125046
omp,2,17,64,0.001994
omp,2,17,8,0.000104
omp,2,18,1024,0.501008
omp,2,18,128,0.007733
omp,2,18,2048,2.012679
omp,2,18,256,0.031535
omp,2,18,32,0.000552
omp,2,18,4096,8.021806
omp,2,18,512,0.125252
omp,2,18,64,0.001968
omp,2,18,8,0.000074
omp,2,19,1024,0.501719
omp,2,19,128,0.007830
omp,2,19,2048,2.008933
omp,2,19,256,0.031589
omp,2,19,32,0.000546
omp,2,19,4096,8.026540
omp,2,19,512,0.126762
omp,2,19,64,0.001970
omp,2,19,8,0.000106
omp,2,20,1024,0.501954
omp,2,20,128,0.007833
omp,2,20,2048,2.007991
omp,2,20,256,0.031586
omp,2,20,32,0.000540
omp,2,20,4096,8.027172
omp,2,20,512,0.125851
omp,2,20,64,0.001974
omp,2,20,8,0.000107
omp,2,21,1024,0.500859
omp,2,21,128,0.007888
omp,2,21,2048,2.015584
omp,2,21,256,0.031987
omp,2,21,32,0.000645
omp,2,21,4096,8.017874
omp,2,21,512,0.125852
omp,2,21,64,0.001966
omp,2,21,8,0.000071
omp,2,22,1024,0.501563
omp,2,22,128,0.007869
omp,2,22,2048,2.007277
omp,2,22,256,0.031590
omp,2,22,32,0.000541
omp,2,22,4096,8.032091
omp,2,22,512,0.126201
omp,2,22,64,0.002030
omp,2,22,8,0.000104
omp,2,23,1024,0.502677
omp,2,23,128,0.007878
omp,2,23,2048,2.007669
omp,2,23,256,0.031643
omp,2,23,32,0.000537
omp,2,23,4096,8.028321
omp,2,23,512,0.126909
omp,2,23,64,0.002033
omp,2,23,8,0.000110
omp,2,24,1024,0.501944
omp,2,24,128,0.007833
omp,2,24,2048,2.011914
omp,2,24,256,0.031922
omp,2,24,32,0.000590
omp,2,24,4096,8.026983
omp,2,24,512,0.126659
omp,2,24,64,0.002032
omp,2,24,8,0.000095
omp,2,25,1024,0.501206
omp,2,25,128,0.007799
omp,2,25,2048,2.009024
omp,2,25,256,0.031339
omp,2,25,32,0.000661
omp,2,25,4096,8.029852
omp,2,25,512,0.125936
omp,2,25,64,0.001968
omp,2,25,8,0.000068
omp,2,26,1024,0.501319
omp,2,26,128,0.007883
omp,2,26,2048,2.007221
omp,2,26,256,0.031480
omp,2,26,32,0.000542
omp,2,26,4096,8.017215
omp,2,26,512,0.125570
omp,2,26,64,0.001993
omp,2,26,8,0.000095
omp,2,27,1024,0.496271
omp,2,27,128,0.007853
omp,2,27,2048,1.986525
omp,2,27,256,0.032032
omp,2,27,32,0.000531
omp,2,27,4096,8.031564
omp,2,27,512,0.126911
omp,2,27,64,0.002028
omp,2,27,8,0.000136
omp,2,28,1024,0.502540
omp,2,28,128,0.007766
omp,2,28,2048,2.008947
omp,2,28,256,0.031619
omp,2,28,32,0.000548
omp,2,28,4096,8.015021
omp,2,28,512,0.125573
omp,2,28,64,0.002038
omp,2,28,8,0.000105
omp,2,29,1024,0.501358
omp,2,29,128,0.007739
omp,2,29,2048,2.010255
omp,2,29,256,0.031697
omp,2,29,32,0.000545
omp,2,29,4096,8.023233
omp,2,29,512,0.124787
omp,2,29,64,0.002049
omp,2,29,8,0.000103
omp,2,30,1024,0.502694
omp,2,30,128,0.007884
omp,2,30,2048,2.012407
omp,2,30,256,0.031618
omp,2,30,32,0.000591
omp,2,30,4096,8.013064
omp,2,30,512,0.126208
omp,2,30,64,0.001967
omp,2,30,8,0.000105
omp,4,1,1024,0.255054
omp,4,1,128,0.004041
omp,4,1,2048,1.022951
omp,4,1,256,0.016997
omp,4,1,32,0.000360
omp,4,1,4096,4.064340
omp,4,1,512,0.064659
omp,4,1,64,0.001128
omp,4,1,8,0.000119
omp,4,2,1024,0.254950
omp,4,2,128,0.004080
omp,4,2,2048,1.025337
omp,4,2,256,0.016153
omp,4,2,32,0.000361
omp,4,2,4096,4.069856
omp,4,2,512,0.065129
omp,4,2,64,0.001140
omp,4,2,8,0.000129
omp,4,3,1024,0.255056
omp,4,3,128,0.004035
omp,4,3,2048,1.018620
omp,4,3,256,0.016849
omp,4,3,32,0.000364
omp,4,3,4096,4.052512
omp,4,3,512,0.064120
omp,4,3,64,0.001122
omp,4,3,8,0.000091
omp,4,4,1024,0.254900
omp,4,4,128,0.004104
omp,4,4,2048,1.018503
omp,4,4,256,0.016130
omp,4,4,32,0.000368
omp,4,4,4096,4.043705
omp,4,4,512,0.064210
omp,4,4,64,0.001131
omp,4,4,8,0.000128
omp,4,5,1024,0.254498
omp,4,5,128,0.004093
omp,4,5,2048,1.027357
omp,4,5,256,0.016130
omp,4,5,32,0.000374
omp,4,5,4096,4.098544
omp,4,5,512,0.064334
omp,4,5,64,0.001078
omp,4,5,8,0.000128
omp,4,6,1024,0.266388
omp,4,6,128,0.004125
omp,4,6,2048,1.024960
omp,4,6,256,0.016610
omp,4,6,32,0.000378
omp,4,6,4096,4.064993
omp,4,6,512,0.065004
omp,4,6,64,0.001077
omp,4,6,8,0.000130
omp,4,7,1024,0.254712
omp,4,7,128,0.004107
omp,4,7,2048,1.018028
omp,4,7,256,0.016908
omp,4,7,32,0.000354
omp,4,7,4096,4.068890
omp,4,7,512,0.064136
omp,4,7,64,0.001073
omp,4,7,8,0.000131
omp,4,8,1024,0.255704
omp,4,8,128,0.004079
omp,4,8,2048,1.024142
omp,4,8,256,0.015964
omp,4,8,32,0.000394
omp,4,8,4096,4.084118
omp,4,8,512,0.067150
omp,4,8,64,0.001095
omp,4,8,8,0.000127
omp,4,9,1024,0.254899
omp,4,9,128,0.004044
omp,4,9,2048,1.016551
omp,4,9,256,0.016439
omp,4,9,32,0.000355
omp,4,9,4096,4.051891
omp,4,9,512,0.065740
omp,4,9,64,0.001125
omp,4,9,8,0.000129
omp,4,10,1024,0.252656
omp,4,10,128,0.004125
omp,4,10,2048,1.016272
omp,4,10,256,0.016191
omp,4,10,32,0.000357
omp,4,10,4096,4.093913
omp,4,10,512,0.064659
omp,4,10,64,0.001089
omp,4,10,8,0.000126
omp,4,11,1024,0.262244
omp,4,11,128,0.004023
omp,4,11,2048,1.021072
omp,4,11,256,0.016414
omp,4,11,32,0.000366
omp,4,11,4096,4.084638
omp,4,11,512,0.064537
omp,4,11,64,0.001113
omp,4,11,8,0.000097
omp,4,12,1024,0.254354
omp,4,12,128,0.004046
omp,4,12,2048,1.026706
omp,4,12,256,0.016889
omp,4,12,32,0.000354
omp,4,12,4096,4.054032
omp,4,12,512,0.064665
omp,4,12,64,0.001076
omp,4,12,8,0.000135
omp,4,13,1024,0.254645
omp,4,13,128,0.004072
omp,4,13,2048,1.025737
omp,4,13,256,0.016802
omp,4,13,32,0.000439
omp,4,13,4096,4.071060
omp,4,13,512,0.070775
omp,4,13,64,0.001087
omp,4,13,8,0.000126
omp,4,14,1024,0.254339
omp,4,14,128,0.004170
omp,4,14,2048,1.025409
omp,4,14,256,0.016881
omp,4,14,32,0.000364
omp,4,14,4096,4.086052
omp,4,14,512,0.066026
omp,4,14,64,0.001092
omp,4,14,8,0.000116
omp,4,15,1024,0.254969
omp,4,15,128,0.004101
omp,4,15,2048,1.024060
omp,4,15,256,0.016906
omp,4,15,32,0.000348
omp,4,15,4096,4.059302
omp,4,15,512,0.065058
omp,4,15,64,0.001119
omp,4,15,8,0.000125
omp,4,16,1024,0.255321
